audit_id,expected
SOURCE|NVDA-Q1-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $26,044 million"", ""id"": ""NVDA-Q1-REV"", ""locator"": ""Q1 Fiscal 2025 Summary"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""26044""}"
SOURCE|NVDA-Q1-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 78.4 percent"", ""id"": ""NVDA-Q1-GM"", ""locator"": ""Q1 Fiscal 2025 Summary"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""78.4""}"
SOURCE|NVDA-Q1-DC,"{""basis"": ""reported_segment"", ""excerpt"": ""Data Center revenue of $22.6 billion"", ""id"": ""NVDA-Q1-DC"", ""locator"": ""Data Center highlights"", ""metric"": ""data_center_revenue"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""22600""}"
ORACLE|NVDA-Q1-DC-SHARE,86.8
SOURCE|NVDA-Q2-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $30,040 million"", ""id"": ""NVDA-Q2-REV"", ""locator"": ""Q2 Fiscal 2025 Summary"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""30040""}"
SOURCE|NVDA-Q2-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 75.1 percent"", ""id"": ""NVDA-Q2-GM"", ""locator"": ""Q2 Fiscal 2025 Summary"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""75.1""}"
SOURCE|NVDA-Q2-DC,"{""basis"": ""reported_segment"", ""excerpt"": ""Data Center revenue was $26.3 billion"", ""id"": ""NVDA-Q2-DC"", ""locator"": ""Data Center highlights"", ""metric"": ""data_center_revenue"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""26300""}"
ORACLE|FSEC-NVDA-02|comparisons|1,15.3
ORACLE|FSEC-NVDA-02|comparisons|2,-3.3
SOURCE|NVDA-Q4-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $39,331 million"", ""id"": ""NVDA-Q4-REV"", ""locator"": ""Q4 Fiscal 2025 Summary"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""39331""}"
SOURCE|NVDA-Q4-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 73.0 percent"", ""id"": ""NVDA-Q4-GM"", ""locator"": ""Q4 Fiscal 2025 Summary"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""73.0""}"
SOURCE|NVDA-Q4-DC,"{""basis"": ""reported_segment"", ""excerpt"": ""Data Center revenue was $35.6 billion"", ""id"": ""NVDA-Q4-DC"", ""locator"": ""Data Center highlights"", ""metric"": ""data_center_revenue"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""35600""}"
ORACLE|FSEC-NVDA-03|comparisons|1,30.9
ORACLE|FSEC-NVDA-03|comparisons|2,-2.1
SOURCE|AMD-Q2-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $5,835 million"", ""id"": ""AMD-Q2-REV"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""5835""}"
SOURCE|AMD-Q2-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 49 percent"", ""id"": ""AMD-Q2-GM"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""49""}"
SOURCE|AMD-Q2-DC,"{""basis"": ""reported_segment"", ""excerpt"": ""Data Center net revenue $2,834 million"", ""id"": ""AMD-Q2-DC"", ""locator"": ""Segment and Category Information"", ""metric"": ""data_center_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""2834""}"
SOURCE|AMD-Q2-DC-YOY,"{""basis"": ""reported_segment"", ""excerpt"": ""Data Center revenue was up 115 percent year-over-year"", ""id"": ""AMD-Q2-DC-YOY"", ""locator"": ""Segment Summary"", ""metric"": ""data_center_revenue_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""115""}"
SOURCE|AMD-Q2-GAME,"{""basis"": ""reported_segment"", ""excerpt"": ""Gaming segment revenue was $648 million"", ""id"": ""AMD-Q2-GAME"", ""locator"": ""Segment Summary"", ""metric"": ""gaming_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""648""}"
SOURCE|AMD-Q2-GAME-YOY,"{""basis"": ""reported_segment"", ""excerpt"": ""Gaming revenue was down 59 percent year-over-year"", ""id"": ""AMD-Q2-GAME-YOY"", ""locator"": ""Segment Summary"", ""metric"": ""gaming_revenue_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-59""}"
ORACLE|AMD-Q2-DC-SHARE,48.6
SOURCE|AMD-Q3-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $6,819 million"", ""id"": ""AMD-Q3-REV"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""6819""}"
SOURCE|AMD-Q3-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 50 percent"", ""id"": ""AMD-Q3-GM"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""50""}"
SOURCE|AMD-Q3-GAME,"{""basis"": ""reported_segment"", ""excerpt"": ""Gaming segment revenue was $462 million"", ""id"": ""AMD-Q3-GAME"", ""locator"": ""Segment Summary"", ""metric"": ""gaming_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""462""}"
ORACLE|FSEC-AMD-02|comparisons|1,16.9
ORACLE|FSEC-AMD-02|comparisons|2,1.0
SOURCE|AMD-Q4-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenue $7,658 million"", ""id"": ""AMD-Q4-REV"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""7658""}"
